DEPTH,CKH,CPOR,DT,DTSM,GR,NPHI,PHIE,RHOB,RT,RXO,SW,TEMP,VCL,VDOL,VLIM
-389.08,-999.25,-999.25,-999.25,-999.25,8.288,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-388.58,-999.25,-999.25,-999.25,-999.25,7.023,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-388.08,-999.25,-999.25,-999.25,-999.25,6.199,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-387.58,-999.25,-999.25,-999.25,-999.25,6.687,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-387.08,-999.25,-999.25,-999.25,-999.25,7.964,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-386.58,-999.25,-999.25,-999.25,-999.25,9.592,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-386.08,-999.25,-999.25,-999.25,-999.25,10.871,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-385.58,-999.25,-999.25,-999.25,-999.25,11.317,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-385.08,-999.25,-999.25,-999.25,-999.25,11.139,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-384.58,-999.25,-999.25,-999.25,-999.25,10.881,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-384.08,-999.25,-999.25,-999.25,-999.25,10.367,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-383.58,-999.25,-999.25,-999.25,-999.25,9.569,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-383.08,-999.25,-999.25,-999.25,-999.25,8.706,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-382.58,-999.25,-999.25,-999.25,-999.25,7.538,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-382.08,-999.25,-999.25,-999.25,-999.25,6.427,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-381.58,-999.25,-999.25,-999.25,-999.25,6.198,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-381.08,-999.25,-999.25,-999.25,-999.25,7.317,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-380.58,-999.25,-999.25,-999.25,-999.25,9.282,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-380.08,-999.25,-999.25,-999.25,-999.25,11.408,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-379.58,-999.25,-999.25,-999.25,-999.25,12.309,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-379.08,-999.25,-999.25,-999.25,-999.25,10.722,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-378.58,-999.25,-999.25,-999.25,-999.25,8.081,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-378.08,-999.25,-999.25,-999.25,-999.25,7.47,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-377.58,-999.25,-999.25,-999.25,-999.25,9.081,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-377.08,-999.25,-999.25,-999.25,-999.25,11.092,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-376.58,-999.25,-999.25,-999.25,-999.25,12.21,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-376.08,-999.25,-999.25,-999.25,-999.25,11.945,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-375.58,-999.25,-999.25,-999.25,-999.25,10.534,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-375.08,-999.25,-999.25,-999.25,-999.25,9.572,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-374.58,-999.25,-999.25,-999.25,-999.25,9.637,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-374.08,-999.25,-999.25,-999.25,-999.25,9.69,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-373.58,-999.25,-999.25,-999.25,-999.25,9.014,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-373.08,-999.25,-999.25,-999.25,-999.25,8.311,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-372.58,-999.25,-999.25,-999.25,-999.25,8.203,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-372.08,-999.25,-999.25,-999.25,-999.25,8.236,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-371.58,-999.25,-999.25,-999.25,-999.25,8.113,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-371.08,-999.25,-999.25,-999.25,-999.25,8.346,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-370.58,-999.25,-999.25,-999.25,-999.25,9.024,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-370.08,-999.25,-999.25,-999.25,-999.25,9.109,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-369.58,-999.25,-999.25,-999.25,-999.25,8.371,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-369.08,-999.25,-999.25,-999.25,-999.25,7.869,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-368.58,-999.25,-999.25,-999.25,-999.25,7.913,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-368.08,-999.25,-999.25,-999.25,-999.25,8.599,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-367.58,-999.25,-999.25,-999.25,-999.25,9.443,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-367.08,-999.25,-999.25,-999.25,-999.25,9.561,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-366.58,-999.25,-999.25,-999.25,-999.25,8.91,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-366.08,-999.25,-999.25,-999.25,-999.25,8.455,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-365.58,-999.25,-999.25,-999.25,-999.25,8.309,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-365.08,-999.25,-999.25,-999.25,-999.25,8.79,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-364.58,-999.25,-999.25,-999.25,-999.25,9.85,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-364.08,-999.25,-999.25,-999.25,-999.25,10.668,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-363.58,-999.25,-999.25,-999.25,-999.25,11.212,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-363.08,-999.25,-999.25,-999.25,-999.25,11.599,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-362.58,-999.25,-999.25,-999.25,-999.25,11.138,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-362.08,-999.25,-999.25,-999.25,-999.25,9.921,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-361.58,-999.25,-999.25,-999.25,-999.25,9.176,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-361.08,-999.25,-999.25,-999.25,-999.25,9.63,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-360.58,-999.25,-999.25,-999.25,-999.25,10.789,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-360.08,-999.25,-999.25,-999.25,-999.25,11.667,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-359.58,-999.25,-999.25,-999.25,-999.25,11.425,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-359.08,-999.25,-999.25,-999.25,-999.25,10.252,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
